Codcir;Codmun;Municipio;Mesa;Censo;Certif_alta;Certif_correc;Censo total;Votos_electores;Votos_interventores;Votos_totales;Votos_nulos;Votos_blancos;Geroa Bai;UPN;PSN;EH Bildu;UPyD;I-E;PP;Podemos;Ciudadanos;LN;Equo;PACMA;SAIn;RCN-NOK
31;89;Enériz - Eneritz;1-001 -U;241;0;0;241;165;0;165;4;1;23;62;8;10;8;3;17;16;6;0;2;1;2;2
31;90;Eratsun;1-001 -U;143;0;0;143;84;0;84;0;1;43;10;5;13;0;0;2;8;1;0;0;0;0;1
31;91;Ergoiena;1-001 -U;353;0;0;353;267;0;267;4;5;84;20;10;124;1;0;3;16;0;0;0;0;0;0
31;92;Erro;1-001 -A;266;0;0;266;195;0;195;0;5;47;68;12;30;0;8;5;10;2;1;5;1;0;1
31;92;Erro;1-001 -B;400;0;0;400;322;0;322;1;5;90;61;12;96;0;6;5;36;4;6;0;0;0;0
31;94;Eslava;1-001 -U;115;0;0;115;83;0;83;1;3;7;42;14;6;1;0;3;5;0;0;0;0;0;1
31;95;Esparza de Salazar - Espartza Zaraitzu;1-001 -U;78;0;0;78;64;0;64;0;1;11;10;13;23;0;3;1;1;0;0;0;0;0;1
31;96;Espronceda;1-001 -U;115;0;0;115;94;0;94;2;1;5;20;14;23;1;4;14;6;1;1;0;1;0;1
31;97;Estella-Lizarra;1-001 -A;395;0;0;395;251;0;251;9;6;35;57;39;54;1;13;5;26;2;0;0;3;0;1
31;97;Estella-Lizarra;1-001 -B;405;0;0;405;247;0;247;3;5;28;73;38;39;1;10;6;33;8;0;1;2;0;0
31;97;Estella-Lizarra;1-002 -A;614;0;0;614;364;0;364;6;4;45;91;62;58;4;11;12;56;8;0;2;4;1;0
31;97;Estella-Lizarra;1-002 -B;623;0;0;623;363;0;363;3;5;61;81;47;53;2;21;13;65;5;1;1;3;0;2
31;97;Estella-Lizarra;2-001 -U;728;0;0;728;402;0;402;5;10;47;94;67;85;0;11;8;60;10;0;2;2;0;1
31;97;Estella-Lizarra;2-002 -A;614;0;0;614;407;0;407;3;7;49;128;34;88;1;22;12;46;9;0;2;4;1;1
31;97;Estella-Lizarra;2-002 -B;639;0;0;639;418;0;418;2;5;46;116;35;72;0;26;18;62;24;0;5;4;0;3
31;97;Estella-Lizarra;2-003 -A;402;0;0;402;244;0;244;2;1;36;78;25;46;2;5;13;19;8;0;4;3;0;2
31;97;Estella-Lizarra;2-003 -B;394;0;0;394;241;0;241;3;0;31;86;20;49;0;9;7;24;7;0;2;2;0;1
31;97;Estella-Lizarra;2-004 -A;512;0;0;512;354;0;354;8;6;45;96;30;68;2;13;17;50;11;0;2;1;1;4
31;97;Estella-Lizarra;2-004 -B;581;0;0;581;381;0;381;3;7;72;92;41;62;0;10;15;62;10;1;2;1;0;3
31;97;Estella-Lizarra;2-004 -C;505;0;0;505;338;0;338;8;10;57;87;31;67;1;10;7;42;9;1;0;6;0;2
31;97;Estella-Lizarra;2-005 -A;468;0;0;468;291;0;291;3;4;50;100;33;38;3;13;10;25;6;2;0;2;1;1
31;97;Estella-Lizarra;2-005 -B;446;0;0;446;307;0;307;1;7;44;120;27;61;0;8;6;21;7;0;1;0;1;3
31;97;Estella-Lizarra;2-006 -A;608;0;0;608;461;0;461;5;17;74;197;47;41;0;12;12;30;17;1;3;3;1;1
31;97;Estella-Lizarra;2-006 -B;680;0;0;680;492;0;492;14;8;65;192;62;53;6;8;27;33;12;4;2;2;0;4
